Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
460	Raytheon	"$27,058.00 "	6.70%	"$2,909.00 "	"$31,864.00 "	43.70%	"67,000"	7	https://fortune.com/global500/2019/raytheon	U.S.	Aerospace & Defense	Aerospace and Defense	Thomas A. Kennedy	"Waltham, Mass."	https://www.raytheon.com
461	TongLing Nonferrous Metals Group	"$26,846.70 "	15.30%	($70.20)	"$12,668.50 "	-	"24,848"	-	https://fortune.com/global500/2019/tongling-nonferrous-metals-group	China	Materials	Metals	Gong Huadong	"Tongling, China"	https://www.tnmg.com.cn
462	Shanxi LuAn Mining Group	"$26,840.50 "	12.80%	$1.20 	"$35,084.40 "	139%	"100,637"	33	https://fortune.com/global500/2019/shanxi-luan-mining-group	China	Energy	"Mining, Crude-Oil Production"	You Hao	"Changzhi, China"	https://www.chinaluan.com
463	CJ Corp.	"$26,835.70 "	12.80%	$250.90 	"$28,439.10 "	-38.80%	"64,832"	30	https://fortune.com/global500/2019/cj-corp	South Korea	Retailing	Specialty Retailers	Kyung-Shik Sohn /Keun-Hee Park	Seoul	https://www.cj.net
464	Datong Coal Mine Group	"$26,697.60 "	12.70%	($181.80)	"$49,898.20 "	-372%	"156,268"	33	https://fortune.com/global500/2019/datong-coal-mine-group	China	Energy	"Mining, Crude-Oil Production"	Guo Jingang	"Datong, China"	https://www.dtcoalmine.com
465	Shanxi Coking Coal Group	"$26,692.80 "	18.20%	$141.60 	"$49,288.00 "	19.30%	"199,872"	-	https://fortune.com/global500/2019/shanxi-coking-coal-group	China	Energy	"Mining, Crude-Oil Production"	Wang Maosheng	"Taiyuan, China"	https://www.sxcc.com.cn
466	Nokia	"$26,628.10 "	2.10%	($401.30)	"$45,167.90 "	-	"103,083"	-9	https://fortune.com/global500/2019/nokia	Finland	Technology	Network and Other Communications Equipment	Rajeev Suri	"Espoo, Finland"	https://www.nokia.com
467	Heineken Holding	"$26,608.10 "	7.20%	"$1,134.10 "	"$47,955.70 "	3%	"85,610"	8	https://fortune.com/global500/2019/heineken-holding	Netherlands	"Food, Beverages & Tobacco"	Beverages	Jean-Fran莽ois van Boxmeer	Amsterdam	https://www.theheinekencompany.com
468	Xiaomi	"$26,443.50 "	55.90%	"$2,049.10 "	"$21,152.70 "	-	"16,683"	-	https://fortune.com/global500/2019/xiaomi	China	Technology	Internet Services and Retailing	Lei Jun	Beijing	https://www.mi.com
469	Yangquan Coal Industry Group	"$26,290.10 "	10.50%	($131.10)	"$34,909.50 "	-	"129,150"	25	https://fortune.com/global500/2019/yangquan-coal-industry-group	China	Energy	"Mining, Crude-Oil Production"	Zhai Hong	"Yangquan, China"	https://www.ymjt.com.cn%20
470	NEC	"$26,277.00 "	2.40%	$362.50 	"$26,661.60 "	-12.40%	"110,595"	-7	https://fortune.com/global500/2019/nec	Japan	Technology	Information Technology Services	Takashi Niino	Tokyo	https://www.nec.com
471	Fubon Financial Holding	"$26,276.50 "	6.40%	"$1,583.40 "	"$251,010.50 "	-11%	"45,174"	8	https://fortune.com/global500/2019/fubon-financial-holding	Taiwan	Financials	"Insurance: Life, Health (stock)"	Richard M. Tsai	Taipei	https://www.fubon.com
472	Kraft Heinz	"$26,268.00 "	0.70%	"($10,192.00)"	"$103,461.00 "	-193.20%	"38,000"	-21	https://fortune.com/global500/2019/kraft-heinz	U.S.	"Food, Beverages & Tobacco"	Food Consumer Products	Miguel Patricio	Pittsburgh	https://www.kraftheinzcompany.com
473	Hailiang Group	"$26,251.00 "	9.10%	$237.60 	"$8,036.40 "	-11.50%	"19,510"	-	https://fortune.com/global500/2019/hailiang-group	China	Wholesalers	Trading	Cao Jianguo	"Hangzhou, China"	https://www.hailiang.com
474	Flex	"$26,210.50 "	3%	$93.40 	"$13,499.40 "	-78.20%	"200,000"	-8	https://fortune.com/global500/2019/flex	Singapore	Technology	Semiconductors and Other Electronic Components	Revathi Advaithi	Singapore	https://www.flex.com
475	Xinxing Cathay International Group	"$26,207.90 "	-15.70%	$103.60 	"$20,671.30 "	-76.40%	"52,024"	-94	https://fortune.com/global500/2019/xinxing-cathay-international-group	China	Materials	Metals	Zhang Yalin	Beijing	https://www.xxcig.com
476	Emirates Group	"$26,147.70 "	5.30%	$237.10 	"$34,687.80 "	-68.80%	"60,282"	-2	https://fortune.com/global500/2019/emirates-group	United Arab Emirates	Transportation	Airlines	Sheikh Ahmed bin Saeed Al Maktoum	Dubai	https://www.theemiratesgroup.com
477	Ceconomy	"$26,129.40 "	6.90%	($252.20)	"$9,842.90 "	-120.80%	"53,954"	9	https://fortune.com/global500/2019/metro	Germany	Retailing	Specialty Retailers	J枚rn H. Werner	"D眉sseldorf, Germany"	https://www.ceconomy.de
478	Michelin	"$25,996.70 "	5%	"$1,979.10 "	"$33,659.10 "	3.30%	"111,117"	-	https://fortune.com/global500/2019/michelin	France	Motor Vehicles & Parts	Motor Vehicles and Parts	Florent Menrgaux	"Clermont-Ferrand, France"	https://www.michelin.com
479	National Australia Bank	"$25,942.70 "	5.70%	"$4,220.60 "	"$583,429.30 "	4.90%	"33,283"	6	https://fortune.com/global500/2019/national-australia-bank	Australia	Financials	Banks: Commercial and Savings	Philip W. Chronican	"Docklands, Australia"	https://www.nab.com.au
480	Mondelez International	"$25,938.00 "	0.20%	"$3,381.00 "	"$62,729.00 "	15.70%	"80,000"	-21	https://fortune.com/global500/2019/mondelez-international	U.S.	"Food, Beverages & Tobacco"	Food Consumer Products	Dirk Van de Put	"Deerfield, Ill."	https://www.mondelezinternational.com
481	Adidas	"$25,920.00 "	5.10%	"$2,008.60 "	"$17,844.50 "	62.40%	"57,016"	-1	https://fortune.com/global500/2019/adidas	Germany	Apparel	Apparel	Kasper Rorsted	"Herzogenaurach, Germany"	https://www.adidas-group.com
482	Shanxi Jincheng Anthracite Coal Mining Group	"$25,844.70 "	4.80%	$52.60 	"$40,137.80 "	-8.20%	"128,795"	-1	https://fortune.com/global500/2019/shanxi-jincheng-anthracite-coal-mining-group	China	Energy	"Mining, Crude-Oil Production"	Li Hongshuang	"Jincheng, China"	https://www.jamg.cn
483	Rabobank Group	"$25,823.30 "	8.40%	"$2,235.20 "	"$674,869.50 "	31.40%	"41,861"	9	https://fortune.com/global500/2019/rabobank-group	Netherlands	Financials	Banks: Commercial and Savings	Wiebe Draijer	"Utrecht, Netherlands"	https://www.rabobank.com
484	Henan Energy & Chemical	"$25,781.90 "	8.80%	($133.30)	"$39,328.40 "	-	"171,334"	12	https://fortune.com/global500/2019/henan-energy-chemical	China	Energy	"Mining, Crude-Oil Production"	Liu Yinzhi	"Zhengzhou, China"	https://www.hnecgc.com.cn
485	China General Technology	"$25,779.10 "	11%	$442.70 	"$25,230.80 "	7.80%	"34,752"	-	https://fortune.com/global500/2019/china-general-technology	China	Engineering & Construction	"Engineering, Construction"	Xu Xianping	Beijing	https://www.genertec.com.cn
486	U.S. Bancorp	"$25,775.00 "	7.40%	"$7,096.00 "	"$467,374.00 "	14.10%	"75,772"	4	https://fortune.com/global500/2019/u-s-bancorp	U.S.	Financials	Banks: Commercial and Savings	Andrew J. Cecere	Minneapolis	https://www.usbank.com
487	Macy's	"$25,739.00 "	3.60%	"$1,108.00 "	"$19,194.00 "	-28.40%	"130,000"	-14	https://fortune.com/global500/2019/macys	U.S.	Retailing	General Merchandisers	Jeffrey Gennette	Cincinnati	https://www.macysinc.com
488	Fomento Económico Mexicano	"$25,679.00 "	5.50%	"$1,247.30 "	"$29,270.30 "	-44.40%	"297,073"	-1	https://fortune.com/global500/2019/fomento-economico-mexicano	Mexico	"Food, Beverages & Tobacco"	Beverages	Miguel Eduardo Padilla Silva	"Monterrey, Mexico"	https://www.femsa.com
489	Dollar General	"$25,625.00 "	9.20%	"$1,589.50 "	"$13,204.00 "	3.30%	"135,000"	-	https://fortune.com/global500/2019/dollar-general	U.S.	Retailing	Specialty Retailers	Todd J. Vasos	"Goodlettsville, Tennessee"	https://www.dollargeneral.com
490	LG Chem	"$25,617.30 "	12.70%	"$1,338.50 "	"$25,942.60 "	-22.20%	"33,694"	-	https://fortune.com/global500/2019/lg-chem	South Korea	Chemicals	Chemicals	H.C. Shin	Seoul	https://www.lgchem.co.kr
491	Onex	"$25,606.00 "	-2.60%	($663)	"$45,417.00 "	-127.70%	"217,000"	-44	https://fortune.com/global500/2019/onex	Canada	Financials	Diversified Financials	Gerald W. Schwartz	"Toronto, Ontario, Canada"	https://www.onex.com
492	Formosa Petrochemical	"$25,462.80 "	24.10%	"$1,993.40 "	"$13,201.80 "	-24.30%	"5,285"	-	https://fortune.com/global500/2019/formosa-petrochemical	Taiwan	Energy	Petroleum Refining	Bao Lang Chen	"Mailiao, Taiwan"	https://www.fpcc.com.tw
493	Safran	"$25,191.90 "	24.40%	"$1,514.20 "	"$46,428.70 "	-72%	"92,639"	-	https://fortune.com/global500/2019/safran	France	Aerospace & Defense	Aerospace and Defense	Philippe Petitcolin	Paris	https://www.safran-group.com
494	Achmea	"$25,180.10 "	1.20%	$370.60 	"$93,515.70 "	52.90%	"13,714"	-22	https://fortune.com/global500/2019/achmea	Netherlands	Financials	"Insurance: Life, Health (Mutual)"	Willem A.J. van Duin	"Zeist, Netherlands"	https://www.achmea.com
495	Rajesh Exports	"$25,142.60 "	-13.70%	$184.80 	"$4,163.80 "	-5.90%	383	-90	https://fortune.com/global500/2019/rajesh-exports	India	Wholesalers	Trading	Rajesh J. Mehta	"Bengaluru, India"	https://www.rajeshindia.com
496	Nucor	"$25,067.30 "	23.80%	"$2,360.80 "	"$17,920.60 "	79%	"26,300"	-	https://fortune.com/global500/2019/nucor	U.S.	Materials	Metals	John J. Ferriola	"Charlotte, N.C."	https://www.nucor.com
497	Bank of Montreal	"$25,002.70 "	16.50%	"$4,235.10 "	"$589,481.40 "	3.60%	"45,454"	-	https://fortune.com/global500/2019/bank-of-montreal	Canada	Financials	Banks: Commercial and Savings	Darryl White	"Toronto, Ontario, Canada"	https://www.bmo.com
498	Taikang Insurance Group	"$24,931.70 "	3.60%	"$1,794.60 "	"$117,398.30 "	6.60%	"57,406"	-9	https://fortune.com/global500/2019/taikang-insurance-group	China	Financials	"Insurance: Life, Health (Mutual)"	Chen Dongsheng	Beijing	https://www.taikang.com
499	Ultrapar Holdings	"$24,816.00 "	-1%	$314.80 	"$7,870.20 "	-36.20%	"17,034"	-29	https://fortune.com/global500/2019/ultrapar-holdings	Brazil	Energy	Pipelines	Frederico Pinheiro Fleury Curado	S茫o Paulo	https://www.ultra.com.br
500	Air Liquide	"$24,796.60 "	7.10%	"$2,494.20 "	"$47,983.80 "	0.60%	"66,000"	-	https://fortune.com/global500/2019/air-liquide	France	Chemicals	Chemicals	Beno卯t Potier	Paris	https://www.airliquide.com
															
